InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/5/2011 8:26,2.55,17850,United Kingdom
536375,71053,WHITE METAL LANTERN,8,1/5/2011 8:26,3.39,17850,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,10,1/5/2011 8:26,2.75,17850,United Kingdom
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,1/5/2011 8:26,3.39,17850,United Kingdom
536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,1/5/2011 8:26,3.39,17850,United Kingdom
536375,22752,SET 7 BABUSHKA NESTING BOXES,4,1/5/2011 8:26,7.65,17850,United Kingdom
536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,1/5/2011 8:26,4.25,17850,United Kingdom
536376,22633,HAND WARMER UNION JACK,8,1/5/2011 8:28,1.85,17850,United Kingdom
536376,22632,HAND WARMER RED POLKA DOT,8,1/5/2011 8:28,1.85,17850,United Kingdom
536377,84879,ASSORTED COLOUR BIRD ORNAMENT,34,1/5/2011 8:34,1.69,13047,United Kingdom
536377,22745,POPPY'S PLAYHOUSE BEDROOM ,8,1/5/2011 8:34,2.1,13047,United Kingdom
536377,22748,POPPY'S PLAYHOUSE KITCHEN,8,1/5/2011 8:34,2.1,13047,United Kingdom
536377,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,10,1/5/2011 8:34,3.75,13047,United Kingdom
536377,22310,IVORY KNITTED MUG COSY ,8,1/5/2011 8:34,1.65,13047,United Kingdom
536377,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,8,1/5/2011 8:34,4.25,13047,United Kingdom
536377,22623,BOX OF VINTAGE JIGSAW BLOCKS ,5,1/5/2011 8:34,4.95,13047,United Kingdom
536377,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,1/5/2011 8:34,9.95,13047,United Kingdom
536377,21754,HOME BUILDING BLOCK WORD,5,1/5/2011 8:34,5.95,13047,United Kingdom
536377,21755,LOVE BUILDING BLOCK WORD,5,1/5/2011 8:34,5.95,13047,United Kingdom
536377,21777,RECIPE BOX WITH METAL HEART,6,1/5/2011 8:34,7.95,13047,United Kingdom
536377,48187,DOORMAT NEW ENGLAND,6,1/5/2011 8:34,7.95,13047,United Kingdom
536378,22960,JAM MAKING SET WITH JARS,8,1/5/2011 8:34,4.25,13047,United Kingdom
536378,22913,RED COAT RACK PARIS FASHION,5,1/5/2011 8:34,4.95,13047,United Kingdom
536378,22912,YELLOW COAT RACK PARIS FASHION,5,1/5/2011 8:34,4.95,13047,United Kingdom
536378,22914,BLUE COAT RACK PARIS FASHION,5,1/5/2011 8:34,4.95,13047,United Kingdom
536379,21756,BATH BUILDING BLOCK WORD,5,1/5/2011 8:35,5.95,13047,United Kingdom
536380,22728,ALARM CLOCK BAKELIKE PINK,26,1/5/2011 8:45,3.75,12583,France
536380,22727,ALARM CLOCK BAKELIKE RED ,26,1/5/2011 8:45,3.75,12583,France
536380,22726,ALARM CLOCK BAKELIKE GREEN,14,1/5/2011 8:45,3.75,12583,France
536380,21724,PANDA AND BUNNIES STICKER SHEET,14,1/5/2011 8:45,0.85,12583,France
536380,21883,STARS GIFT TAPE ,26,1/5/2011 8:45,0.65,12583,France
536380,10002,INFLATABLE POLITICAL GLOBE ,50,1/5/2011 8:45,0.85,12583,France
536380,21791,VINTAGE HEADS AND TAILS CARD GAME ,26,1/5/2011 8:45,1.25,12583,France
536380,21035,SET/2 RED RETROSPOT TEA TOWELS ,20,1/5/2011 8:45,2.95,12583,France
536380,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,26,1/5/2011 8:45,2.95,12583,France
536380,22629,SPACEBOY LUNCH BOX ,26,1/5/2011 8:45,1.95,12583,France
536380,22659,LUNCH BOX I LOVE LONDON,26,1/5/2011 8:45,1.95,12583,France
536380,22631,CIRCUS PARADE LUNCH BOX ,26,1/5/2011 8:45,1.95,12583,France
536380,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,22,1/5/2011 8:45,0.85,12583,France
536380,21731,RED TOADSTOOL LED NIGHT LIGHT,26,1/5/2011 8:45,1.65,12583,France
536380,22900, SET 2 TEA TOWELS I LOVE LONDON ,26,1/5/2011 8:45,2.95,12583,France
536380,21913,VINTAGE SEASIDE JIGSAW PUZZLES,14,1/5/2011 8:45,3.75,12583,France
536380,22540,MINI JIGSAW CIRCUS PARADE ,26,1/5/2011 8:45,0.42,12583,France
536380,22544,MINI JIGSAW SPACEBOY,26,1/5/2011 8:45,0.42,12583,France
536380,22492,MINI PAINT SET VINTAGE ,38,1/5/2011 8:45,0.65,12583,France
536380,POST,POSTAGE,5,1/5/2011 8:45,18,12583,France
536381,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,82,1/5/2011 9:00,2.55,13748,United Kingdom
536382,22632,HAND WARMER RED POLKA DOT,8,1/5/2011 9:01,1.85,17850,United Kingdom
536382,22633,HAND WARMER UNION JACK,8,1/5/2011 9:01,1.85,17850,United Kingdom
536383,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/5/2011 9:02,2.55,17850,United Kingdom
536383,71053,WHITE METAL LANTERN,8,1/5/2011 9:02,3.39,17850,United Kingdom
536383,84406B,CREAM CUPID HEARTS COAT HANGER,10,1/5/2011 9:02,2.75,17850,United Kingdom
536383,20679,EDWARDIAN PARASOL RED,8,1/5/2011 9:02,4.95,17850,United Kingdom
536383,37370,RETRO COFFEE MUGS ASSORTED,8,1/5/2011 9:02,1.06,17850,United Kingdom
536383,21871,SAVE THE PLANET MUG,8,1/5/2011 9:02,1.06,17850,United Kingdom
536383,21071,VINTAGE BILLBOARD DRINK ME MUG,8,1/5/2011 9:02,1.06,17850,United Kingdom
536383,21068,VINTAGE BILLBOARD LOVE/HATE MUG,8,1/5/2011 9:02,1.06,17850,United Kingdom
536383,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,1/5/2011 9:02,4.95,17850,United Kingdom
536383,82486,WOOD S/3 CABINET ANT WHITE FINISH,6,1/5/2011 9:02,6.95,17850,United Kingdom
536383,82482,WOODEN PICTURE FRAME WHITE FINISH,8,1/5/2011 9:02,2.1,17850,United Kingdom
536383,82494L,WOODEN FRAME ANTIQUE WHITE ,8,1/5/2011 9:02,2.55,17850,United Kingdom
536383,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,1/5/2011 9:02,3.39,17850,United Kingdom
536383,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,1/5/2011 9:02,3.39,17850,United Kingdom
536383,22752,SET 7 BABUSHKA NESTING BOXES,4,1/5/2011 9:02,7.65,17850,United Kingdom
536383,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,1/5/2011 9:02,4.25,17850,United Kingdom
536384,21258,VICTORIAN SEWING BOX LARGE,34,1/5/2011 9:09,10.95,15100,United Kingdom
536385,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/5/2011 9:32,2.55,17850,United Kingdom
536385,71053,WHITE METAL LANTERN,8,1/5/2011 9:32,3.39,17850,United Kingdom
536385,84406B,CREAM CUPID HEARTS COAT HANGER,10,1/5/2011 9:32,2.75,17850,United Kingdom
536385,20679,EDWARDIAN PARASOL RED,8,1/5/2011 9:32,4.95,17850,United Kingdom
536385,37370,RETRO COFFEE MUGS ASSORTED,8,1/5/2011 9:32,1.06,17850,United Kingdom
536385,21871,SAVE THE PLANET MUG,8,1/5/2011 9:32,1.06,17850,United Kingdom
536385,21071,VINTAGE BILLBOARD DRINK ME MUG,8,1/5/2011 9:32,1.06,17850,United Kingdom
536385,21068,VINTAGE BILLBOARD LOVE/HATE MUG,8,1/5/2011 9:32,1.06,17850,United Kingdom
536385,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,1/5/2011 9:32,4.95,17850,United Kingdom
536385,82486,WOOD S/3 CABINET ANT WHITE FINISH,6,1/5/2011 9:32,6.95,17850,United Kingdom
536385,82482,WOODEN PICTURE FRAME WHITE FINISH,8,1/5/2011 9:32,2.1,17850,United Kingdom
536385,82494L,WOODEN FRAME ANTIQUE WHITE ,8,1/5/2011 9:32,2.55,17850,United Kingdom
